Tweet,created_at,hashtags
"RT @radarlove777: @DonnaWR8 AmazingPolly YT  dissects , researches backgrounds , the spiderweb of conflict,  ALL OF THEM PROSPER FINANCIALL…",2020-05-13 08:34:14,[]
"RT @Yero_pol: Delaware senator Joe Biden said “I don’t feel responsible for the sins of my father and grandfather""-1977 
Joe Biden as he ma…",2020-05-13 08:34:16,[]
RT @smragha: Is that baby #Trump?,2020-05-13 08:34:16,['Trump']
"RT @MaruskaGreg: I stand with this reporter, how about you? https://t.co/RMjWoOiWXY",2020-05-13 08:34:18,[]
Hey @ajusting9 Remember when @RealDonaldTrump leads the country to the longest government shutdown in American history #Trump #MAGA #RacistInChief #RapistInChief #cult45 #AmericsFirst,2020-05-13 08:34:21,[]
RT @kingchuck810: #CA25 is the first of many red blood baths. Social media doesn't represent America. America is fed up of far left bullshi…,2020-05-13 08:34:23,['CA25']
"President Trolump 🤣

#DonaldTrump
#DonutTrump",2020-05-13 08:34:23,"['DonaldTrump', 'DonutTrump']"
"#SaudiArabia : Custodian of the Two Holy Mosques Chairs Cabinet's Virtual Session
-
https://t.co/5XPxn3kMCK

#DonaldTrump #economics #USA #COVIDー19 https://t.co/x5tegSJgmQ",2020-05-13 08:34:29,['SaudiArabia']
"@MollyJongFast @dirtyjersey701 I really, really hope the #Trump family name is forever smeared by #DonaldTrump's catastrophic failure as POTUS, so Don Jr. won't ever get a foothold. Forever stuck as a gap-stop guest on #FauxNews.",2020-05-13 08:34:30,"['Trump', 'DonaldTrump']"
RT @John_Di_Lemme: @Jacole45 You will Love this #podcast with an #FBI Insider who Shares the Truth about the #comey Gang that Tried to fram…,2020-05-13 08:34:32,"['podcast', 'FBI', 'comey']"
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:34:40,[]
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:34:40,[]
"RT @Belann_Farrar1: 💜#Trump 2020💜Follow 💜RT💜DM for Ride 
🟪✈️👨‍✈️🟪

@Belann_Farrar1
@Derameth
@Nick_Trump7
@RL9631
@EtheElephant1
@daverich5…",2020-05-13 08:34:42,['Trump']
RT @theclaudbarr1: Strange times when I find myself retweeting a Tory Leave MP and agreeing with him,2020-05-13 08:34:45,[]
"@RandPaul @IngrahamAngle Who WON'T you blame to keep #trump's nose clean? Does it become ANYBODY'S fault who questions your fuhrer?

If you're such a good doctor, why are you now a @GOP senator? The personal benefits of #corruption outweigh the hippocratic oath for you, quite clearly.",2020-05-13 08:34:49,['trump']
Well Done!,2020-05-13 08:34:51,[]
"""Trump is a symptom of a much deeper malaise, which exists in the US, including in health care""
@BrankoMilan discusses the #Trump administration's response to #Corona in our #LockdownConversation with @jagodamarinic , full video available on Youtube: https://t.co/yxurQdiPHT https://t.co/bxwnMwaOqw",2020-05-13 08:34:51,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:34:58,"['Trump', 'Steele']"
RT @BYUSportsCave: Hypothetically #killary #hillary #hillaryclinton #billclinton #deathcount #liberal #liberallogic #liberalismisamentaldis…,2020-05-13 08:35:02,"['killary', 'hillary', 'hillaryclinton', 'billclinton', 'deathcount', 'liberal', 'liberallogic']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:35:03,"['Trump', 'Steele']"
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:35:03,[]
21 attorneys general call Trump to protect meat and poultry workers https://t.co/QmL5sSOwFy #Agrifish https://t.co/eQQT8822Zi #21 #attorneys #general #call #Trump #to #protect #meat #and #poultry #workers #  52,2020-05-13 08:35:04,['Agrifish']
"Harkonnen 2020 - Make Arrakis Great Again - All Tees $13 Masks $12 

https://t.co/xTugBAR0W6
https://t.co/Xg1iIYTSJm 

#Dune2020 #Dune #Arrakis #Harkonnen #Trump2020 #Trump #DumpTrump #Election2020 #MAGA #Parody #tshirt #tee #mask #quarantine #facemask",2020-05-13 08:35:08,[]
"RT @Stanikzaiii: The Americans are responsible for all the killings and destruction in Afghanistan. And your statement is as stupid, as #Tr…",2020-05-13 08:35:08,[]
"RT @organicsbytrish: Delivered 💃💃
.
Order for affordable skincare products and thank me later ❤️
.
Simply send a DM for enquiries and recom…",2020-05-13 08:35:09,[]
"Grumpy #Trump explained.
https://t.co/BmJsTIIrFz",2020-05-13 08:35:12,['Trump']
"RT @garygilligan: Golly. Agreeing with Piers Morgan is one thing, but when you actually find something to agree on with Peter Bone...",2020-05-13 08:35:20,[]
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:35:20,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:35:23,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:35:24,"['Trump', 'Steele']"
"RT @rightNtruthMat: @realDonaldTrump Trump is Melting Down and the GOP is enabling him

Obama envy, 82K victims,  testing failures, no narc…",2020-05-13 08:35:28,[]
"RT @TrendsSharing: #DonaldTrump don't trust ChiNa, #ChinaIsAsshole #ChinaIsAsshole #ChinaIsAsshole https://t.co/rwaXuWtFQT",2020-05-13 08:35:44,"['DonaldTrump', 'ChinaIsAsshole', 'ChinaIsAsshole', 'ChinaIsAsshole']"
"RT @ty_paul_: Safe to say, that if a sensible law had been in place requiring Presidential candidates disclose their financial dealings and…",2020-05-13 08:35:49,[]
RT @franjangle: @ecolitical @BettGunther @Mistymaria55 We have to really really pray that #Trump is overthrown.  It has been handed away fr…,2020-05-13 08:35:54,['Trump']
"RT @Belann_Farrar1: 💜#Trump 2020💜Follow 💜RT💜DM for Ride 
🟪👑🙏  🟪
@Rickster_75
@RogerFritz7
@SaltyDog_58
@FairyQ15
@PinnyLoketch
@ModSpeciali…",2020-05-13 08:35:54,['Trump']
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 08:35:57,[]
"RT @Barnesy19: So @BBCNewsnight invited prolific anti-@realDonaldTrump Robert De Niro on to talk about the #COVID19 crisis in the US, not a…",2020-05-13 08:36:06,['COVID19']
RT @blackcoffeecup: Hey world if you think that #Trump is bad or #BorisJohnson is nuts well we in #Ireland have a Health Minister #SimonHar…,2020-05-13 08:36:17,"['Trump', 'BorisJohnson', 'Ireland']"
Is this #Boris or #Trump?,2020-05-13 08:36:30,"['Boris', 'Trump']"
"RT @BetteMidler: Now Putin’s spokesman reportedly has Coronavirus. Oh, excuse me — his RUSSIAN spokesman, not #DonaldTrump.",2020-05-13 08:36:36,['DonaldTrump']
"Trump + Pet = Trumpet 
#Trump https://t.co/e6QGWzsCDp",2020-05-13 08:36:45,['Trump']
RT @mayawiley: #Sekulow says “temporary immunity” and just while #Trump in office so it doesnmt make him above the law. Why is #Trump so ve…,2020-05-13 08:36:51,"['Sekulow', 'Trump', 'Trump']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:36:52,"['Trump', 'Steele']"
"RT @RichardAngwin: Our awesome 245 year old Postal Service is enshrined in The Constitution.

📢 Don't let Trump and the Republicans destroy…",2020-05-13 08:37:12,[]
"RT @IZ_heidelberg: ""Trump is a symptom of a much deeper malaise, which exists in the US, including in health care""
@BrankoMilan discusses t…",2020-05-13 08:37:13,[]
It seems that #Biden has finally formulated his campaign’s leitmotif. Whether #China-focusing and #Trump-blaming suits best interests of the #US voters - only time shows. But last campaigns attempt by Clinton to focus efforts on Trump-bashing didn’t help a lot.,2020-05-13 08:37:14,"['Biden', 'China', 'Trump']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:37:17,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:37:23,"['Trump', 'Steele']"
● NEWS ● #truthout #scotus ☞ #JusticeThomas Said Forcing #Trump to Release His #Taxes Weakens the President https://t.co/YRvhZaLysF  So?,2020-05-13 08:37:23,"['truthout', 'scotus', 'JusticeThomas', 'Trump', 'Taxes']"
"RT @ottocrat: Sow the wind, reap the whirlwind. Bone and his ERG chums are directly responsible for the erosion of parliamentary democracy…",2020-05-13 08:37:27,[]
RT @JamesRusso2d3d: Howard Stern spoke only the truth. Don’t trust #trump https://t.co/k1aG2rXnl9 #wednesdaymorning #WednesdayWisdom,2020-05-13 08:37:28,"['trump', 'wednesdaymorning', 'WednesdayWisdom']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:37:29,"['Trump', 'Steele']"
"Tp1 Hit in #EurGbp
Book Profit of 30 pips

Did you booked your profit or not?

#indonesia #singapore #italy #forextips #malaysia #luxembourg #malta #Taiwan #spain #chinesesingaporean  #china #singapore #español #forex #uk #Finlande #hongkong #dubai #USA #Canada #Vietnam #America",2020-05-13 08:37:31,"['EurGbp', 'indonesia', 'singapore', 'italy']"
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 08:37:41,"['NEW', 'Trump', 'Steele']"
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:37:42,[]
@realDonaldTrump CAN YOU TURN OFF YOUR 5G TOWERS AROUNDTHE WORLD #5G #Trump #wednesdaymorning #DonaldTrump,2020-05-13 08:37:49,"['5G', 'Trump', 'wednesdaymorning', 'DonaldTrump']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:37:50,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:37:55,"['Trump', 'Steele']"
"RT @Belann_Farrar1: 💜#Trump 2020💜Follow 💜RT💜DM for Ride 
🟪👑🙏  🟪
@Rickster_75
@RogerFritz7
@SaltyDog_58
@FairyQ15
@PinnyLoketch
@ModSpeciali…",2020-05-13 08:37:59,['Trump']
"RT @Sassy4Trump: Truth!! #WeThePeople Of PA With A Dem For Governor 🤷🏼‍♀️
#ENATIONTRAINS #TRUMP
🎊@EtheElephant1 
🌟@SheriffRuth 
🎊@MichaelPa…",2020-05-13 08:38:06,"['WeThePeople', 'ENATIONTRAINS', 'TRUMP']"
This man knows everything... #trump is a joke. He was way too late about the spread of the covid. He just wants a good economic for his own interests. His fans can’t see no shit about how much he doesn’t give a shit of them. This is like Scientology. #americawakeup #Election2020 https://t.co/heQZZPEoWE,2020-05-13 08:38:08,['trump']
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:17,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:25,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:26,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:27,"['Trump', 'Steele']"
RT @mayawiley: #Sekulow is complaining that #Trump could be convicted so that is why he should be protected because in a civil case like #P…,2020-05-13 08:38:29,"['Sekulow', 'Trump']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:36,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:43,"['Trump', 'Steele']"
"@merry_wimble @RKCowgirl_Life It makes me sick thinking about all the propaganda produced by #trump #FakePresident. So sick of all the plaques, banners &amp; crappy videos. Wasted $$. #TrumpDepression",2020-05-13 08:38:48,"['trump', 'FakePresident']"
RT @jpierni: In an extraordinary show of solidarity for @weijia at next  #WhiteHousePressBriefing all  reporters must walk out on #trump &amp;…,2020-05-13 08:38:49,"['WhiteHousePressBriefing', 'trump']"
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 08:38:50,[]
Let’s go Cali!!,2020-05-13 08:38:54,[]
@realDonaldTrump CAN YOU TURN OFF YOUR 5G TOWERS AROUNDTHE WORLD #5G #Trump #wednesdaymorning #DonaldTrump #DonaldTrump,2020-05-13 08:38:57,"['5G', 'Trump', 'wednesdaymorning', 'DonaldTrump', 'DonaldTrump']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:38:58,"['Trump', 'Steele']"
"No, Donald Trump, Negative Rates Aren't a 'Gift' Bitcoin Advocates Warn #bitcoin #advocates #arent #bitcoin #donald #gift #negative #rates #trump #warn
https://t.co/80CONYmwAH",2020-05-13 08:38:58,"['bitcoin', 'advocates', 'arent', 'bitcoin', 'donald']"
"#GeneralFlynn #Winning #Trump #Trump2020 #ObamaGate #Obama

May 12, 2020 

Flynn Defense Files Motion in Opposition to Amicus Briefs…

https://t.co/uD0ybIJGHU",2020-05-13 08:39:01,"['GeneralFlynn', 'Winning', 'Trump', 'Trump2020', 'ObamaGate', 'Obama']"
@Laurie_Garrett @derspiegel @WHO @tedros Can workers in the entertainment industry like your self not try a change of job and try doing some journalism? If this report is as squiffy and #Trump anti-China campaign friendly as it appears why are you and your mates not “investigating” why @derspiegel  is giving it oxygen?,2020-05-13 08:39:03,[]
RT @phillolds: He now knows when you only tell the public some of the facts you get the wrong outcome. Particularly if you include lies in…,2020-05-13 08:39:06,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:39:18,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:39:24,"['Trump', 'Steele']"
"RT @MaruskaGreg: I stand with this reporter, how about you? https://t.co/RMjWoOiWXY",2020-05-13 08:39:25,[]
