Tweet,created_at,hashtags
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 10:55:29,"['NEW', 'Trump', 'Steele']"
"Murphy Calls #Trump Health Officials’ Public Health Advice “#Criminally Vague”

#ChrisMurphy #RemoveTrump #TrumpFascist #TrumpTraitor #TrumpsGuilty #donaldtrump #TrumpRapist 
#TrumpLies #Russia @realDonaldTrump  #RobertMueller #TrumpRacist #TrumpLoser

https://t.co/upAKfCp3gl",2020-05-13 10:55:30,"['Trump', 'Criminally', 'ChrisMurphy', 'RemoveTrump']"
"May 12th: #Trump Job Approval:
Approve 41%
Disapprove 56%  vs. Trump Job Approval:
Approve 51%
Disapprove 49% https://t.co/SES88JB3hX",2020-05-13 10:55:36,['Trump']
"RT @RichardAngwin: Our awesome 245 year old Postal Service is enshrined in The Constitution.

📢 Don't let Trump and the Republicans destroy…",2020-05-13 10:55:36,[]
He better be on watch for a visit from Demonic Cummings' blackshirts,2020-05-13 10:55:37,[]
"So if Dems are accused of any corruption, it’s a distraction to take the attention away from the corruption of Trump??
Do you remember when the catholic priests were accused of assault of kids? 
And we know how that turned out. 
#Trump
#DemsHateAmerica #ObamaGate",2020-05-13 10:55:38,[]
"@jeffdrosenberg @YahooNews Mitch McConnell helped put together the ""Pandemic Playbook"" President Obama tried to give to #Trump! Read page 9!",2020-05-13 10:55:38,['Trump']
"RT @theELN: The recommendations: (1) The #Trump administration should reconsider its intention to withdraw from the treaty, (2) State Parti…",2020-05-13 10:55:40,['Trump']
"RT @zeusFanHouse: John #Brennan under the spotlight!

#Obama CIA Chief #JohnBrennan Under Fire for the Creation of Bogus January 2017 Intel…",2020-05-13 10:55:40,"['Brennan', 'Obama', 'JohnBrennan']"
"RT @tooranomaki6910: @realDonaldTrump The ""GIFT""
#impeachment #Pelosi #Trump #KAG #Qanon #Patriot #GITMO #Hillary #Clinton #Obama #Bush #SQ…",2020-05-13 10:55:41,"['impeachment', 'Pelosi', 'Trump', 'KAG', 'Qanon', 'Patriot', 'GITMO', 'Hillary', 'Clinton', 'Obama', 'Bush']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:55:43,"['Trump', 'Steele']"
Peace with #taliban is meaningless. #ghani freed Taliban and in return they attacked #maternity hospital in #DashteBarchi and killed many innocent mother with their infant. #UnitedNations #ghani #Trump #USGovernment #HumanRights #worldjustice should act. https://t.co/vl5wGPBUQN,2020-05-13 10:55:45,"['taliban', 'ghani', 'maternity']"
@realDonaldTrump Elder abuse is NOT STOPPING the #coronavirus from killing people in nursing homes! #trump is a MONSTER 🧟‍♂️,2020-05-13 10:55:51,"['coronavirus', 'trump']"
"Thanks a lot, @VP #Pence. I’ve worn a #mask to go #GroceryShopping since MARCH. Many others were wearing #masks. Now, it’s the Wild West. Workers with no mask or covering their mouth only. Unmasked shoppers glaring at me for #masking. You and #Trump emboldened these #COVIDIOTS. https://t.co/ekpPXaOAt2",2020-05-13 10:55:55,"['Pence', 'mask', 'GroceryShopping', 'masks']"
"RT @zeusFanHouse: John #Brennan under the spotlight!

#Obama CIA Chief #JohnBrennan Under Fire for the Creation of Bogus January 2017 Intel…",2020-05-13 10:56:07,"['Brennan', 'Obama', 'JohnBrennan']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:56:08,"['Trump', 'Steele']"
"RT @20TRUMP21: Imagine spreading false information to attempt an investigation on #Trump  only to be in the opposing situation years later,…",2020-05-13 10:56:11,['Trump']
"RT @AndyOstroy: @realDonaldTrump Look at you...you sad, miserable, pathetic @Morning_Joe-obsessed sociopath. So let’s get this straight: yo…",2020-05-13 10:56:13,[]
RT @polish4trump: #REDWAVE Mike Garcia CA #25 and Tom Tiffany WI #7 Win Special Elections. #trump #trump2020 #gop https://t.co/4rO7YehuTe,2020-05-13 10:56:14,"['REDWAVE', 'trump', 'trump2020', 'gop']"
"RT @Belann_Farrar1: 💜#Trump 2020💜Follow 💜RT💜DM for Ride 
🟪✈️👨‍✈️🟪

@Belann_Farrar1
@Derameth
@Nick_Trump7
@RL9631
@EtheElephant1
@daverich5…",2020-05-13 10:56:14,['Trump']
RT @Isuckatpicking: Biggest man baby ever. #Trump  https://t.co/9qY4GYqnsY,2020-05-13 10:56:22,['Trump']
"RT @redwhiskeypete: Yesterday I came across a stretch of poverty in rural Michigan, broken down trailers and trash littered houses with bro…",2020-05-13 10:56:31,[]
"RT @charliebebus: Everyone ready for #MAGA2!

.@realDonaldTrump is gearing up for the MAGA sequel, and we all need to be ready to support h…",2020-05-13 10:56:32,['MAGA2']
"RT @zeusFanHouse: Fauci &amp; #Democrats Use Senate Testimony Stage To Bash #Trump &amp; Promote #Vaccines

#Fauci continues holding nation hostage…",2020-05-13 10:56:35,"['Democrats', 'Trump', 'Vaccines', 'Fauci']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:56:38,"['Trump', 'Steele']"
"RT @nomallorywrites: Since this ""#Trump experiment"" began three years ago, one thing is crystal clear in #America: the #nation is full of d…",2020-05-13 10:56:39,"['Trump', 'America', 'nation']"
"RT @joefaz: Maddow pointed out on Tuesday, #trump completely undercut his lawyers’ argument by spending the entire day on Twitter. #trump i…",2020-05-13 10:56:42,"['trump', 'trump']"
"RT @MarionIMcLean: This is spot on!  

British Writer Pens The Best Description Of Trump I’ve Read https://t.co/AeqaUxt0xT #natewhite #trum…",2020-05-13 10:56:44,['natewhite']
These thug life videos are cracking me up this morning!😂,2020-05-13 10:56:51,[]
RT @mayawiley: #Sekulow is complaining that #Trump could be convicted so that is why he should be protected because in a civil case like #P…,2020-05-13 10:56:51,"['Sekulow', 'Trump']"
RT @Getten: #ObamaGate This is the biggest scandal in American political history. Do not let it go under the radar because of a politically…,2020-05-13 10:56:53,['ObamaGate']
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 10:56:56,[]
"RT @zeusFanHouse: John #Brennan under the spotlight!

#Obama CIA Chief #JohnBrennan Under Fire for the Creation of Bogus January 2017 Intel…",2020-05-13 10:57:00,"['Brennan', 'Obama', 'JohnBrennan']"
RT @hopinkenya: Typically 30%-90% of revenue is spent in the supply chain ignited by procurement. 4.5% Total Purchasing Cost reduction has…,2020-05-13 10:57:03,[]
"Josh Norman Predicts Monster 1st Season With Bills, 'All-World' Is Coming!
https://t.co/e4dztxpK5D
#breakingnews #news #coronavirus #trump
#1st #allworld #bills #coming #entertainment #josh #monster #norman #predicts #season #tmz
https://t.co/e4dztxpK5D",2020-05-13 10:57:03,['breakingnews']
"RT @GuyBeaumont: @JodieE777 @realDonaldTrump He speaks for me and all of Pa!
He won Pa and he’ll win it again in a landslide!
#Trump #Trump…",2020-05-13 10:57:04,['Trump']
"RT @zeusFanHouse: Fauci &amp; #Democrats Use Senate Testimony Stage To Bash #Trump &amp; Promote #Vaccines

#Fauci continues holding nation hostage…",2020-05-13 10:57:04,"['Democrats', 'Trump', 'Vaccines', 'Fauci']"
"As a past friend, perhaps he is right. Time for psychotherapy is long past due. There is seriously something mental with #Trump. Now he's going on with this #ObamaGate lie. Do not excuse this man any longer. His age cannot even be an excuse. https://t.co/0yE3SohhDe",2020-05-13 10:57:09,[]
"Pretty sad Russia wanted Hillary, Obama spied and the Democrats still lost",2020-05-13 10:57:13,[]
RT @trish_regan: It’s pretty wild to think that our politicians are so divided that they would take #China’s side over the United States. Y…,2020-05-13 10:57:16,['China']
RT @jpierni: In an extraordinary show of solidarity for @weijia at next  #WhiteHousePressBriefing all  reporters must walk out on #trump &amp;…,2020-05-13 10:57:16,"['WhiteHousePressBriefing', 'trump']"
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 10:57:16,[]
"RT @FireCrownEyes: “Harvey Weinstein is a wonderful human being, a GOOD FRIEND, a powerhouse.” - Michelle Obama #OBAMAGATE #harveyweinstein…",2020-05-13 10:57:16,"['OBAMAGATE', 'harveyweinstein']"
"GOP poised to retake #KatieHill's #California seat, as #Trump-backed candidate wins big in #Wisconsin... https://t.co/8Ys0IEK4kT https://t.co/8Z2l7yXib1",2020-05-13 10:57:22,"['KatieHill', 'California', 'Trump', 'Wisconsin']"
Fake #DonaldTrump,2020-05-13 10:57:23,['DonaldTrump']
"Donald Trump suggests the US needs negative interest rates ‘GIFT’ #technology #donald #gift #interest #negative #rates #suggests #trump
https://t.co/Rq6Vs6qVfC",2020-05-13 10:57:25,"['technology', 'donald', 'gift', 'interest', 'negative']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:57:25,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:57:25,"['Trump', 'Steele']"
"@USAPouncer @SidneyPowell1 That's why Obama warned #Trump right? And it's blemished by the admission of lying, #Trump said he lied, #Pence said he lied, #FBI said he lied, #Flynn said he lied. He lied, what was he hiding. Is this how you would protect America from it's enemies?",2020-05-13 10:57:28,['Trump']
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:57:28,"['Trump', 'Steele']"
"@realDonaldTrump Dear #MAGA supporters, try to get in to one of #Trump’s hotels or properties. You wouldn’t even make it past security and the lobby.  That should tell you everything you need to know and how he feels about you.  Judge a man by his actions and not what he says. #DonaldTrump",2020-05-13 10:57:29,"['MAGA', 'Trump']"
"RT @BetteMidler: Now Putin’s spokesman reportedly has Coronavirus. Oh, excuse me — his RUSSIAN spokesman, not #DonaldTrump.",2020-05-13 10:57:32,['DonaldTrump']
#Republicans are weak! Thank God we have #Trump with a backbone to stand up to these #DeepState criminals. But it’s not enough! #AGBarr needs to take action!!!!,2020-05-13 10:57:33,"['Republicans', 'Trump', 'DeepState']"
"RT @tooranomaki6910: @realDonaldTrump The ""GIFT""
#impeachment #Pelosi #Trump #KAG #Qanon #Patriot #GITMO #Hillary #Clinton #Obama #Bush #SQ…",2020-05-13 10:57:36,"['impeachment', 'Pelosi', 'Trump', 'KAG', 'Qanon', 'Patriot', 'GITMO', 'Hillary', 'Clinton', 'Obama', 'Bush']"
